	query	seed_ortholog	evalue	score	predicted_name	go_terms	kegg_ko	bigg_reactions	tax_scope	eggnog_ogs	best_og	cog_cat	eggnog_hmmm_desc	cog_category_full
0	PB.3.1|1001_0|path0:1-4172(+)|HQ_sampleytBMi1Qu|cb553_c1/f4p5/4244	6945.ISCW018217-PA	1.3999999999999995e-66	260.8	SDC	GO:0000902,GO:0000904,GO:0001667,GO:0003008,GO:0003674,GO:0004871,GO:0004872,GO:0004888,GO:0005575,GO:0005576,GO:0005623,GO:0005886,GO:0005912,GO:0005924,GO:0005925,GO:0006928,GO:0006935,GO:0007154,GO:0007165,GO:0007267,GO:0007268,GO:0007275,GO:0007399,GO:0007409,GO:0007411,GO:0007424,GO:0007427,GO:0007600,GO:0007601,GO:0008045,GO:0008150,GO:0008582,GO:0009314,GO:0009416,GO:0009581,GO:0009582,GO:0009583,GO:0009584,GO:0009605,GO:0009628,GO:0009653,GO:0009987,GO:0010631,GO:0016020,GO:0016043,GO:0016202,GO:0016477,GO:0019222,GO:0019226,GO:0022008,GO:0023052,GO:0030030,GO:0030054,GO:0030055,GO:0030154,GO:0030182,GO:0031175,GO:0031594,GO:0032501,GO:0032502,GO:0032989,GO:0032990,GO:0035637,GO:0038023,GO:0040008,GO:0040011,GO:0042221,GO:0042330,GO:0042592,GO:0044087,GO:0044089,GO:0044246,GO:0044464,GO:0044699,GO:0044700,GO:0044707,GO:0044763,GO:0044767,GO:0045202,GO:0045595,GO:0045887,GO:0045927,GO:0048468,GO:0048518,GO:0048522,GO:0048634,GO:0048638,GO:0048639,GO:0048641,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048742,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0048870,GO:0048871,GO:0050789,GO:0050793,GO:0050794,GO:0050803,GO:0050807,GO:0050877,GO:0050896,GO:0050906,GO:0050908,GO:0050953,GO:0050962,GO:0051094,GO:0051128,GO:0051130,GO:0051147,GO:0051153,GO:0051179,GO:0051239,GO:0051606,GO:0051674,GO:0051716,GO:0051960,GO:0051962,GO:0051963,GO:0051965,GO:0060089,GO:0060147,GO:0060148,GO:0060284,GO:0060541,GO:0060964,GO:0060966,GO:0060968,GO:0061564,GO:0065007,GO:0065008,GO:0070161,GO:0071840,GO:0071944,GO:0090130,GO:0090132,GO:0097009,GO:0097485,GO:1901861,GO:2000026,GO:2000637	K16336		artNOG[6]	0386E@artNOG,0A1US@biNOG,0IW5I@euNOG,0VCQE@meNOG,11QSA@NOG,13PT5@opiNOG	NA|NA|NA	T	Cell surface proteoglycan (By similarity)	Signal Transduction
1	PB.8.1|1008_0|path3:1-3937(+)|HQ_sampleytBMi1Qu|cb10120_c15/f2p3/3984	6945.ISCW018083-PA	3.4999999999999987e-149	535.0					artNOG[6]	033W7@artNOG,09WWC@biNOG,0V7UI@meNOG,0XQ0P@NOG,12RUJ@opiNOG,KOG3944@euNOG	NA|NA|NA	U	TRIC channel	Intracellular trafficking and secretion
2	PB.9.1|1008_0|path4:1-3923(+)|HQ_sampleytBMi1Qu|cb10120_c8/f3p1/3971	6945.ISCW018083-PA	5.8999999999999976e-149	534.3					artNOG[6]	033W7@artNOG,09WWC@biNOG,0V7UI@meNOG,0XQ0P@NOG,12RUJ@opiNOG,KOG3944@euNOG	NA|NA|NA	U	TRIC channel	Intracellular trafficking and secretion
3	PB.11.2|101_0|path4:1-2908(+)|HQ_sampleytBMi1Qu|cb16611_c40331/f3p7/1772	6945.ISCW018610-PA	3.3e-38	165.2	NOLC1	GO:0000278,GO:0000280,GO:0001071,GO:0002119,GO:0002164,GO:0003674,GO:0003676,GO:0003700,GO:0003723,GO:0004871,GO:0005048,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0006139,GO:0006351,GO:0006355,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0006950,GO:0006970,GO:0006996,GO:0006997,GO:0007000,GO:0007049,GO:0007067,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007275,GO:0007568,GO:0008139,GO:0008150,GO:0008152,GO:0008284,GO:0008286,GO:0008340,GO:0009058,GO:0009059,GO:0009303,GO:0009628,GO:0009719,GO:0009725,GO:0009791,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010033,GO:0010243,GO:0010259,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0015030,GO:0016043,GO:0016070,GO:0016072,GO:0016074,GO:0016604,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0022402,GO:0022613,GO:0023052,GO:0030515,GO:0030529,GO:0030532,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031974,GO:0031981,GO:0032386,GO:0032501,GO:0032502,GO:0032774,GO:0032868,GO:0032869,GO:0032870,GO:0032879,GO:0032880,GO:0032991,GO:0033157,GO:0033218,GO:0033979,GO:0034470,GO:0034512,GO:0034513,GO:0034641,GO:0034645,GO:0034654,GO:0034660,GO:0040024,GO:0042127,GO:0042221,GO:0042254,GO:0042277,GO:0042306,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043434,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0044699,GO:0044700,GO:0044707,GO:0044763,GO:0044767,GO:0045893,GO:0045935,GO:0046483,GO:0046822,GO:0048285,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051049,GO:0051171,GO:0051173,GO:0051223,GO:0051252,GO:0051254,GO:0051716,GO:0060089,GO:0060255,GO:0060341,GO:0065007,GO:0070013,GO:0070201,GO:0070887,GO:0071310,GO:0071375,GO:0071417,GO:0071495,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0097159,GO:1900180,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1901652,GO:1901653,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:2000112,GO:2001141	K11294		meNOG[21]	0A3DQ@biNOG,0VF6Y@meNOG,11U5P@NOG,13M9C@opiNOG,KOG2992@euNOG	NA|NA|NA	Y	nucleolar and coiled-body phosphoprotein 1	Nuclear structure
4	PB.14.1|1011_0|path0:183-1775(-)|HQ_sampleytBMi1Qu|cb16611_c205636/f9p10/1592	7227.FBpp0100183	3.1e-56	224.9		GO:0003674,GO:0003824,GO:0003954,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005747,GO:0008137,GO:0008150,GO:0008152,GO:0016020,GO:0016491,GO:0016651,GO:0016655,GO:0019866,GO:0030964,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0044710,GO:0045271,GO:0050136,GO:0055114,GO:0070469	K03881		artNOG[6]	03GA4@artNOG,0AYRX@biNOG,0H2PW@dipNOG,0KFRK@euNOG,0T2TE@inNOG,0WBAV@meNOG,12X3H@opiNOG,COG1008@NOG	NA|NA|NA	C	NADH-Ubiquinone/plastoquinone (complex I), various chains	Energy production and conversion
5	PB.14.2|1011_0|path0:324-1775(-)|HQ_sampleytBMi1Qu|cb16611_c12246/f2p10/1445	7227.FBpp0100183	8.5e-15	87.0		GO:0003674,GO:0003824,GO:0003954,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005747,GO:0008137,GO:0008150,GO:0008152,GO:0016020,GO:0016491,GO:0016651,GO:0016655,GO:0019866,GO:0030964,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0044710,GO:0045271,GO:0050136,GO:0055114,GO:0070469	K03881		artNOG[6]	03GA4@artNOG,0AYRX@biNOG,0H2PW@dipNOG,0KFRK@euNOG,0T2TE@inNOG,0WBAV@meNOG,12X3H@opiNOG,COG1008@NOG	NA|NA|NA	C	NADH-Ubiquinone/plastoquinone (complex I), various chains	Energy production and conversion
6	PB.16.2|1011_0|path1:609-1172(-)|HQ_sampleytBMi1Qu|cb14387_c286/f2p1/566	7227.FBpp0100182	8.7e-22	109.0		GO:0003674,GO:0003824,GO:0003954,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005747,GO:0008137,GO:0008150,GO:0008152,GO:0016020,GO:0016491,GO:0016651,GO:0016655,GO:0019866,GO:0030964,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0044710,GO:0045271,GO:0050136,GO:0055114,GO:0070469	K03883		artNOG[6]	0390M@artNOG,09Z7N@biNOG,0SW8V@inNOG,0VA34@meNOG,12RS9@opiNOG,COG1009@NOG,KOG4668@euNOG	NA|NA|NA	C	NADH-Ubiquinone/plastoquinone (complex I), various chains	Energy production and conversion
7	PB.21.3|1011_1|path0:438-1389(+)|HQ_sampleytBMi1Qu|cb14387_c185/f2p1/939	6085.B4F7N3	3.6000000000000004e-12	77.8	CYTB	GO:0000003,GO:0001666,GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005750,GO:0006091,GO:0006119,GO:0006122,GO:0006793,GO:0006796,GO:0006810,GO:0006811,GO:0006812,GO:0006818,GO:0006950,GO:0006970,GO:0006972,GO:0007275,GO:0007276,GO:0007283,GO:0007584,GO:0008121,GO:0008150,GO:0008152,GO:0008324,GO:0009266,GO:0009408,GO:0009605,GO:0009628,GO:0009636,GO:0009651,GO:0009719,GO:0009725,GO:0009987,GO:0009991,GO:0010033,GO:0010035,GO:0010038,GO:0010243,GO:0014070,GO:0015075,GO:0015077,GO:0015078,GO:0015672,GO:0015980,GO:0015992,GO:0016020,GO:0016310,GO:0016491,GO:0016679,GO:0016681,GO:0019866,GO:0019953,GO:0022414,GO:0022857,GO:0022890,GO:0022891,GO:0022892,GO:0022900,GO:0022904,GO:0031090,GO:0031099,GO:0031100,GO:0031667,GO:0031966,GO:0031967,GO:0031975,GO:0032501,GO:0032502,GO:0032504,GO:0032991,GO:0033273,GO:0033590,GO:0033762,GO:0034220,GO:0036293,GO:0036296,GO:0042221,GO:0042493,GO:0042538,GO:0042773,GO:0042775,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0043434,GO:0044237,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0044699,GO:0044702,GO:0044707,GO:0044710,GO:0044763,GO:0044765,GO:0044767,GO:0045275,GO:0045333,GO:0045471,GO:0046686,GO:0046688,GO:0046689,GO:0048232,GO:0048513,GO:0048609,GO:0048731,GO:0048856,GO:0050896,GO:0051179,GO:0051234,GO:0051592,GO:0055085,GO:0055093,GO:0055114,GO:0070469,GO:0070482,GO:0097305,GO:1901652,GO:1901698,GO:1901700	K00412		meNOG[21]	0VCRC@meNOG,13AUK@opiNOG,COG1290@NOG,KOG4663@euNOG	NA|NA|NA	C	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis (By similarity)	Energy production and conversion
8	PB.21.4|1011_1|path0:438-733(+)|HQ_sampleytBMi1Qu|cb14387_c188/f2p1/292	69293.ENSGACP00000027672	4.3e-20	102.4	CYTB	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0016020,GO:0019866,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464	K00412		fiNOG[1]	0A1VS@biNOG,0DPHX@chorNOG,0NA5B@fiNOG,0VCRC@meNOG,13AUK@opiNOG,1CYGF@veNOG,COG1290@NOG,KOG4663@euNOG	NA|NA|NA	C	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis (By similarity)	Energy production and conversion
9	PB.21.5|1011_1|path0:709-1146(+)|HQ_sampleytBMi1Qu|cb14387_c602/f3p0/437	9103.ENSMGAP00000019846	2.8999999999999997e-33	146.7	CYTB	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0016020,GO:0019866,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464	K00412		aveNOG[1]	04H7C@aveNOG,0A1VS@biNOG,0DPHX@chorNOG,0VCRC@meNOG,13AUK@opiNOG,1CYGF@veNOG,COG1290@NOG,KOG4663@euNOG	NA|NA|NA	C	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis (By similarity)	Energy production and conversion
