	query	seed_ortholog	evalue	score	predicted_name	go_terms	kegg_ko	bigg_reactions	tax_scope	eggnog_ogs	best_og	cog_cat	eggnog_hmmm_desc	cog_category_full
0	PB.1.1|1000_0|path0:1-2112(+)|HQ_sampleM3zMZywY|cb12430_c35731/f7p1/2122	6945.ISCW017907-PA	3.0999999999999995e-27	129.0	AT4G15930		K10418		euNOG[57]	11NK2@NOG,KOG3430@euNOG	NA|NA|NA	Z	Dynein light chain	Cytoskeleton
1	PB.2.2|100_0|path2:1-3026(+)|HQ_sampleM3zMZywY|cb1809_c7/f2p3/3041	6945.ISCW020130-PA	1.0999999999999998e-158	566.2			K01052,K14452,K19406		euNOG[57]	COG0596@NOG,KOG2624@euNOG	NA|NA|NA	I	lipase, family member	Lipid metabolism
2	PB.10.1|1005_0|path0:1-2052(+)|HQ_sampleM3zMZywY|cb2053_c0/f5p1/2117	6945.ISCW023859-PA	1.2e-18	100.5			K08202		euNOG[57]	COG0477@NOG,KOG0255@euNOG	NA|NA|NA	I	transporter	Lipid metabolism
3	PB.10.2|1005_0|path0:1-2055(+)|HQ_sampleM3zMZywY|cb2053_c1/f3p1/1855	6945.ISCW023859-PA	1.6e-16	93.2			K08202		euNOG[57]	COG0477@NOG,KOG0255@euNOG	NA|NA|NA	I	transporter	Lipid metabolism
4	PB.13.1|1008_0|path0:1-2081(+)|HQ_sampleM3zMZywY|cb12430_c105690/f14p11/1962	6945.ISCW013300-PA	6.899999999999996e-287	991.5			K15322		artNOG[6]	038EG@artNOG,09VR7@biNOG,0V6Q5@meNOG,12NW2@opiNOG,COG1676@NOG,KOG4685@euNOG	NA|NA|NA	J	tRNA intron endonuclease, catalytic C-terminal domain	Translation
5	PB.13.2|1008_0|path0:3-2081(+)|HQ_sampleM3zMZywY|cb12430_c79805/f2p0/2115	6945.ISCW013300-PA	1.299999999999999e-243	847.8			K15322		artNOG[6]	038EG@artNOG,09VR7@biNOG,0V6Q5@meNOG,12NW2@opiNOG,COG1676@NOG,KOG4685@euNOG	NA|NA|NA	J	tRNA intron endonuclease, catalytic C-terminal domain	Translation
6	PB.14.2|10_0|path0:1030-3626(+)|HQ_sampleM3zMZywY|cb12430_c12474/f2p2/2529	7425.NV13327-PA	5.3e-34	151.8		GO:0003674,GO:0003824,GO:0004095,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0008374,GO:0009605,GO:0009991,GO:0010035,GO:0010038,GO:0016406,GO:0016409,GO:0016416,GO:0016740,GO:0016746,GO:0016747,GO:0031667,GO:0042221,GO:0042594,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0050896	K08765		artNOG[6]	033I9@artNOG,09WJV@biNOG,0S7I4@hymNOG,0SQ6G@inNOG,0V7IG@meNOG,0XNZ9@NOG,12NYF@opiNOG,KOG3717@euNOG	NA|NA|NA	I	Choline/Carnitine o-acyltransferase	Lipid metabolism
7	PB.16.2|10_0|path2:1-3737(+)|HQ_sampleM3zMZywY|cb12430_c15043/f3p3/3699	6085.XP_002154641	3.599999999999999e-87	328.9			K08765		meNOG[21]	0V7IG@meNOG,0XNZ9@NOG,12NYF@opiNOG,KOG3717@euNOG	NA|NA|NA	I	Carnitine palmitoyltransferase	Lipid metabolism
8	PB.16.4|10_0|path2:1-3737(+)|HQ_sampleM3zMZywY|cb12430_c21227/f3p5/3605	45351.NEMVEDRAFT_v1g244361-PA	3.799999999999999e-182	644.4			K08765		meNOG[21]	0V7IG@meNOG,0XNZ9@NOG,12NYF@opiNOG,KOG3717@euNOG	NA|NA|NA	I	Carnitine palmitoyltransferase	Lipid metabolism
9	PB.18.3|101_0|path5:1-3087(+)|HQ_sampleM3zMZywY|cb12430_c116440/f3p9/2914	6945.ISCW012081-PA	2.4999999999999995e-147	528.5					euNOG[57]	COG1501@NOG,KOG1065@euNOG	NA|NA|NA	G	alpha-glucosidase	Carbohydrate metabolism and transport
